,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,1,Ambati  Rayudu,1,1,0,71,71,71.00,48,147.91,0,1,6,3
1,2,Faf  du Plessis,1,1,1,54,54*,-,43,125.58,0,1,5,0
2,3,Saurabh  Tiwary,1,1,0,42,42,42.00,31,135.48,0,0,3,1
3,4,Quinton  de Kock,1,1,0,33,33,33.00,20,165.0,0,0,5,0
4,5,Sam  Curran,1,1,0,18,18,18.00,6,300.0,0,0,1,2
5,6,Kieron  Pollard,1,1,0,18,18,18.00,14,128.57,0,0,1,1
6,7,Suryakumar  Yadav,1,1,0,17,17,17.00,16,106.25,0,0,2,0
7,8,Hardik  Pandya,1,1,0,14,14,14.00,10,140.0,0,0,0,2
8,9,Rohit  Sharma,1,1,0,12,12,12.00,10,120.0,0,0,2,0
9,10,James  Pattinson,1,1,0,11,11,11.00,8,137.5,0,0,2,0
10,11,Ravindra  Jadeja,1,1,0,10,10,10.00,5,200.0,0,0,2,0
11,12,Jasprit  Bumrah,1,1,1,5,5*,-,3,166.66,0,0,0,0
12,13,Shane  Watson,1,1,0,4,4,4.00,5,80.0,0,0,1,0
13,14,Krunal  Pandya,1,1,0,3,3,3.00,3,100.0,0,0,0,0
14,15,Rahul  Chahar,1,1,1,2,2*,-,4,50.0,0,0,0,0
15,16,Murali  Vijay,1,1,0,1,1,1.00,7,14.28,0,0,0,0
16,17,MS  Dhoni,1,1,1,0,0*,-,2,0.0,0,0,0,0
17,18,Trent  Boult,1,1,0,0,0*,0.00,1,0.0,0,0,0,0
